name;number;set;warehouse_code;price;image;variant;sold;added_at
Eevee V;108;Crown Zenith;K100R1P0576;16.38;https://sklep839679.shoparena.pl/upload/images/3/img1662.jpg;common;;2025-09-09
Magcargo ex;29;Twilight Masquerade;K100R1P0577;2.77;https://sklep839679.shoparena.pl/upload/images/3/img1663.jpg;common;;2025-09-09
Wellspring Mask Ogerpon ex;64;Twilight Masquerade;K100R1P0578;5.10;https://sklep839679.shoparena.pl/upload/images/3/img1664.jpg;common;;2025-09-09
Miraidon ex;122;Temporal Forces;K100R1P0579;3.40;https://sklep839679.shoparena.pl/upload/images/3/img1665.jpg;common;;2025-09-09
Bellibolt ex;79;Paldea Evolved;K100R1P0580;3.85;https://sklep839679.shoparena.pl/upload/images/3/img1666.jpg;common;;2025-09-09
Hisuian Lilligant V;17;Astral Radiance;K100R1P0581;4.95;https://sklep839679.shoparena.pl/upload/images/3/img1667.jpg;common;;2025-09-09
Aerodactyl V;92;Lost Origin;K100R1P0582;4.45;https://sklep839679.shoparena.pl/upload/images/3/img1668.jpg;common;;2025-09-09
Greedent V;53;Shining Fates;K100R1P0583;3.72;https://sklep839679.shoparena.pl/upload/images/3/img1669.jpg;common;;2025-09-09
Scovillain ex;37;Surging Sparks;K100R1P0584;2.88;https://sklep839679.shoparena.pl/upload/images/3/img1670.jpg;common;;2025-09-09
Spidops ex;19;Scarlet & Violet;K100R1P0585;2.93;https://sklep839679.shoparena.pl/upload/images/3/img1671.jpg;common;;2025-09-09
Iron Leaves ex;25;Temporal Forces;K100R1P0586;4.76;https://sklep839679.shoparena.pl/upload/images/3/img1672.jpg;common;;2025-09-09
